id,company,title,Predicted Sentiment Score
1492,Shell,Shell's Arctic return faces hurdle at Seattle port,-0.33583423495292664
1607,Diageo,Britain's FTSE recovers two-month low after Diageo shares rally on bid report,0.29001089930534363
1462,Amazon,Jim Armitage: Amazon is Primed to deliver pain to grocery's old guard,0.47289055585861206
1585,Standard Life,Industry NewsStandard Life enjoys strong inflows to lift assets under management,0.8617704510688782
1284,Standard Life,Standard Life Elevates,0.47289055585861206
1551,SABMiller,SABMiller revenue hit by weaker EM currencies,0.15908397734165192
1406,Johnson Matthey,Johnson Matthey share price slumps as company posts full-year results,0.384013295173645
1389,AstraZeneca,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,0.9345800876617432
1280,Standard Life,Property Stocks Slump After Standard Life Freezes U.K. Fund,-0.12344575673341751
1251,Berkshire Hathaway Inc.,Berkshire holders hit Buffett with hard questions,0.1742156594991684
1335,Royal Bank of Scotland Group plc,RBS turns away savers in latest glitch,0.3452501595020294
1342,HSBC,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",-0.21166856586933136
1171,Associated British Foods,Associated British Foods raises guidance as sterling wilts,0.6079754829406738
1502,AstraZeneca,AstraZeneca lupus drug cuts disease activity in mid-stage trial,0.41861480474472046
1431,Rio Tinto,Rio Tinto CEO says iron ore market at equilibrium,0.9082019925117493
1306,Unilever,Unilever profit rises despite sales slump in China,0.9969817996025085
1145,Shell,EU regulators clear Shell's takeover of BG Group,0.9832276701927185
1311,SABMiller,AB InBev looks to win over SABMiller investors,0.9064220786094666
1414,Persimmon,"Persimmon makes strong start, but notes pre-election uncertainty",0.9763268232345581
1225,Barclays,Priceline's stock jumps to new high for the year after Barclays upgrade,0.9997380971908569
1469,Daiichi Sankyo,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,0.9221611618995667
1322,BP,BP to slash 4000 jobs globally as oil prices drop,0.3592776954174042
1167,Travis Perkins,UK builders' merchant Travis Perkins reports strong start to year,0.9902099967002869
1421,Baxalta,Drugmaker Shire bids $30 bln for Baxter spin-off Baxalta,0.8896650671958923
1350,BT Group,BT share price: Watchdog bans telco's broadband adverts,0.40352383255958557
1404,Shell,Shell eyes $700 million exit from Gabon - sources,0.8513708114624023
1499,Intertain,Intertain considers London listing,0.6406219601631165
1321,Standard Life,Standard Life chief agrees £600000 bonus cut,-0.04741895943880081
1514,Sainsbury's,Sainsbury's share price: Supermarket pushes ahead with Netto roll-out,0.7593353986740112
1542,Tesco PLC,Can Christmas Save Sainsbury's plc And Tesco plc?,0.13800573348999023
1380,Glencore,"Glencore 2014 profit in line, takes $1.1 billion impairment charge on commodity ...",0.9897549748420715
1452,Legal & General Group Plc,Legal & General eyes company deals as individual annuities wither,0.3988996148109436
1449,L&G,L&G completes UK's largest medically underwritten bulk pension risk deal,-0.09283511340618134
1339,Aviva,Aviva Expects 1500 Jobs Cuts from Friends Life Deal,0.9938994646072388
1601,Shoeders,"Schroders assets hit record in Q1, buoyed by institutional inflows",0.036553118377923965
1561,London Stock Exchange Group,London Stock Exchange Group appoints Royal Mail's Donald Brydon to replace ...,0.9701735377311707
1612,Morrisons,Profit slumps at troubled UK grocer Morrisons,0.5704872608184814
1362,Royal Mail,Ofcom says will not impose new price controls on Royal Mail,0.7905375361442566
1550,Aggreko,Industry NewsAggreko buys Canada's ICS for £18m,0.5675711631774902
1429,AstraZeneca,AstraZeneca immune system drug wins orphan status in rare cancer,0.9753679633140564
1397,Whitbread,Whitbread buys 49% stake in Pure food chain,0.8402714729309082
1507,Wilshire Bancorp,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,0.9982539415359497
1572,BP,Drilling begins 3 miles from epicenter of BP oil spill,0.12100031971931458
1604,Glencore,Glencore increases debt reduction and cuts spending,0.5516732335090637
1529,Royal Mail,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.9326645731925964
1181,HSBC,HSBC money laundering report's release delayed amid US appeal,0.06598129868507385
1384,Royal Dutch Shell,Royal Dutch Shell profit rises; dividend up 4%,0.931164026260376
1266,Dixons Carphone,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,0.996347188949585
1259,BG Group,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,-0.37169593572616577
1516,Tesco PLC,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.9874901175498962
1503,Morrissons,Morrisons reveals the 11 supermarkets facing closure at the expense of 900 jobs,0.4058123826980591
1149,Diageo,Diageo Shares Surge on Report of Possible Takeover by Lemann,0.9387661218643188
1181,HSBC,HSBC money laundering report's release delayed amid US appeal,0.06598129868507385
1564,Wells Fargo,Berkshire applies to boost Wells Fargo stake above 10 percent,0.9775288105010986
